Title,Journal,DOI,Link
Diurnal Selective Radiative Cooling Impact in Mitigating Urban Heat Island Effect,Sustainable Cities and Society,10.1016/j.scs.2022.103932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129775561&doi=10.1016%2fj.scs.2022.103932&partnerID=40&md5=bc7a661d213ba27d7e21e92d22550ee4
"Urban heat island phenomenon in a desert, coastal city: The impact of urbanization",Urban Climate,10.1016/j.uclim.2024.102016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197547780&doi=10.1016%2fj.uclim.2024.102016&partnerID=40&md5=199e042e015ddf98d02383eb75949833
How Do Different Methods for Generating Future Weather Data Affect Building Performance Simulations? A Comparative Analysis of Southern Europe,Buildings,10.3390/buildings13092385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172775456&doi=10.3390%2fbuildings13092385&partnerID=40&md5=a95506ff154ef7f30d1029e8956533ab
Sensitivity analysis of urban microclimatic conditions and building energy consumption on urban parameters by means of idealized numerical simulations,Urban Climate,10.1016/j.uclim.2020.100677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089511108&doi=10.1016%2fj.uclim.2020.100677&partnerID=40&md5=fe85c1ffe0616fdbbf08d5ac01adfaf1
Effects of microclimatic factors on stomatal conductance of plants in vertical greenery systems in humid subtropical areas,Sustainable Cities and Society,10.1016/j.scs.2022.104056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134699785&doi=10.1016%2fj.scs.2022.104056&partnerID=40&md5=d5f28e9eb9d748653891a495b96ee0e7
The vertical city weather generator (vcwg v1.3.2),Geoscientific Model Development,10.5194/gmd-14-961-2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101235412&doi=10.5194%2fgmd-14-961-2021&partnerID=40&md5=66419a808cba13c6dac1f254557bf026
Sensitivities of energy use reduction in subtropical high-rise office buildings: A Hong Kong case,Energy and Buildings,10.1016/j.enbuild.2024.114117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189759837&doi=10.1016%2fj.enbuild.2024.114117&partnerID=40&md5=3e1400c90ccc15504dc23857fdbc7ea6
Overheating in existing and renovated Danish single- and multi-family houses,Journal of Building Engineering,10.1016/j.jobe.2022.104835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133445017&doi=10.1016%2fj.jobe.2022.104835&partnerID=40&md5=44029622d0b30680e3f2e2c4d963b025
Anthropogenic heating of the urban environment: An investigation of feedback dynamics between urban micro-climate and decomposed anthropogenic heating from buildings,Building and Environment,10.1016/j.buildenv.2022.108841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124271422&doi=10.1016%2fj.buildenv.2022.108841&partnerID=40&md5=b7d4713af804d5ca78b964f108d82cf1
"Future climate scenarios and their impact on heating, ventilation and air-conditioning system design and performance for commercial buildings for 2050",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2022.112363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128200803&doi=10.1016%2fj.rser.2022.112363&partnerID=40&md5=0bdac8efbf9bec711da57198229bc8d6
Numerical Assessment of Zebra-Stripes-Based Strategies in Buildings Energy Performance: A Case Study under Tropical Climate,Biomimetics,10.3390/biomimetics7010014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123957499&doi=10.3390%2fbiomimetics7010014&partnerID=40&md5=a771aeead1dee4ddc73eb63c3a9cb7fc
Assessment of HVAC system operational fault impacts and multiple faults interactions under climate change,Energy,10.1016/j.energy.2022.124762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134623398&doi=10.1016%2fj.energy.2022.124762&partnerID=40&md5=e746c91364812b45baf53546a9084b9b
Evaluation of employing local climate zone classification for mesoscale modelling over Beijing metropolitan area,Meteorology and Atmospheric Physics,10.1007/s00703-019-00692-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071645781&doi=10.1007%2fs00703-019-00692-7&partnerID=40&md5=fa46d955d5b7c0f01e21c07a3d26e49c
Effects of occupants and local air temperatures as sources of stochastic uncertainty in district energy system modeling,Energies,10.3390/en14082295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106216527&doi=10.3390%2fen14082295&partnerID=40&md5=e2f3af750d1ed4004429fbbf8bfd71d4
Thermal and energy benefits of rooftop photovoltaic panels in a semi-arid city during an extreme heatwave event,Energy and Buildings,10.1016/j.enbuild.2022.112490,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138327375&doi=10.1016%2fj.enbuild.2022.112490&partnerID=40&md5=9b7988e0a34fd8407a3e885880f81ad5
Article impact on renewable design requirements of net-zero carbon buildings under potential future climate scenarios,Climate,10.3390/cli9010017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099945558&doi=10.3390%2fcli9010017&partnerID=40&md5=24be1db623cc6222b6c010f06cd687d1
Spatially resolved indoor overheating evaluation using microscale meteorological simulation as input for building simulation – opportunities and limitations,City and Environment Interactions,10.1016/j.cacint.2023.100122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174747156&doi=10.1016%2fj.cacint.2023.100122&partnerID=40&md5=6fe0a156b8ff4a0067ba9c044343f36b
Assessment of the urban heat island impact on building energy performance at district level with the EUReCA platform,Climate,10.3390/cli9030048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103291872&doi=10.3390%2fcli9030048&partnerID=40&md5=35db60a3253dbe27b2964ebf0ca04b31
Decarbonising well-insulated buildings in a warming climate: The case of adaptive thermal comfort with geothermal space heating,Energy and Buildings,10.1016/j.enbuild.2024.114466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198005324&doi=10.1016%2fj.enbuild.2024.114466&partnerID=40&md5=52997a46cf47ae0ea67ec8827ce493a7
Using recurrent neural networks for localized weather prediction with combined use of public airport data and on-site measurements,Building and Environment,10.1016/j.buildenv.2021.107601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100413954&doi=10.1016%2fj.buildenv.2021.107601&partnerID=40&md5=a00ca6d8c07915ddbef5f5f57db810d5
Impact of outdoor heat adaptation on indoor thermal conditions – Combining microscale urban climate and building performance simulation,Climate Risk Management,10.1016/j.crm.2024.100615,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193227981&doi=10.1016%2fj.crm.2024.100615&partnerID=40&md5=668388efd00d3621d8060f9b4154b675
Vertical meteorological patterns and their impact on the energy demand of tall buildings,Energy and Buildings,10.1016/j.enbuild.2020.110624,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098464688&doi=10.1016%2fj.enbuild.2020.110624&partnerID=40&md5=aace84a5f8122b57d6ce831cc404d3e5
The boundary layer characteristics of coastal urban environments,Theoretical and Applied Climatology,10.1007/s00704-024-05036-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195367633&doi=10.1007%2fs00704-024-05036-z&partnerID=40&md5=5ce743540261e456b339b13fa5a482dc
Integration of a Building Energy Model in an Urban Climate Model and its Application,Boundary-Layer Meteorology,10.1007/s10546-020-00569-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091143283&doi=10.1007%2fs10546-020-00569-y&partnerID=40&md5=e3e48bfe206b4fe257c1001bc9fbd149
Impact of urban heat island on high-rise residential building cooling energy demand in Hong Kong,Energy and Buildings,10.1016/j.enbuild.2024.114127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190294052&doi=10.1016%2fj.enbuild.2024.114127&partnerID=40&md5=c39c90c656c581e17fb3d6cbbd1016b6
Transferring energy signatures across space and time to assess their viability for rapid urban energy demand estimation,Energy and Buildings,10.1016/j.enbuild.2024.114348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194356276&doi=10.1016%2fj.enbuild.2024.114348&partnerID=40&md5=01cc8da56c564021586217fd6c0468a6
Integration of a practical model to assess the local urban interactions in building energy simulation with a street canyon,Journal of Building Performance Simulation,10.1080/19401493.2020.1818829,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091141657&doi=10.1080%2f19401493.2020.1818829&partnerID=40&md5=8b07179e2dd2b4d450da01f3a00df430
Impact of Climate Change on the Heating Demand of Buildings. A District Level Approach,Environmental and Climate Technologies,10.2478/rtuect-2023-0066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180571229&doi=10.2478%2frtuect-2023-0066&partnerID=40&md5=901cc72efe6fdeed7741e94de25caaa5
"A case-crossover analysis of indoor heat exposure on mortality and hospitalizations among the elderly in Houston, Texas",Environmental Health Perspectives,10.1289/EHP6340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097841220&doi=10.1289%2fEHP6340&partnerID=40&md5=27e90dcfbb1d7a80873e3ff753570281
Impact of urban form on building energy consumption in different climate zones of China,Energy and Buildings,10.1016/j.enbuild.2024.114579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199861542&doi=10.1016%2fj.enbuild.2024.114579&partnerID=40&md5=96433879f2da938d10b2d34131011050
Mapping the city scale anthropogenic heat emissions from buildings in Kuala Lumpur through a top-down and a bottom-up approach,Sustainable Cities and Society,10.1016/j.scs.2021.103443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118709159&doi=10.1016%2fj.scs.2021.103443&partnerID=40&md5=e190d4910326facb925d09921b8657f0
Exploring uncertainty in district heat demand through a probabilistic building characterization approach,Applied Energy,10.1016/j.apenergy.2024.124411,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203265855&doi=10.1016%2fj.apenergy.2024.124411&partnerID=40&md5=d96597269ef11e4334b39152008fa24e
Anthropogenic heat from buildings in Los Angeles County: A simulation framework and assessment,Sustainable Cities and Society,10.1016/j.scs.2024.105468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191988912&doi=10.1016%2fj.scs.2024.105468&partnerID=40&md5=70882fb6937e80444d3222a40c3520e6
Microclimate spatio-temporal prediction using deep learning and land use data,Building and Environment,10.1016/j.buildenv.2024.111358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186346654&doi=10.1016%2fj.buildenv.2024.111358&partnerID=40&md5=e2b672c9598f368fc80f1fdb087c7834
Investigating the impact of urban microclimate on building thermal performance: A case study of dense urban areas in Hong Kong,Sustainable Cities and Society,10.1016/j.scs.2023.104509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151045404&doi=10.1016%2fj.scs.2023.104509&partnerID=40&md5=b1daa43a737158141f42b864a7c0f21f
Urban microclimate prediction based on weather station data and artificial neural network,Energy and Buildings,10.1016/j.enbuild.2024.114283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193499063&doi=10.1016%2fj.enbuild.2024.114283&partnerID=40&md5=7c698873b793b3747d8c364c224a20f5
Modeling and analysis of heat emissions from buildings to ambient air,Applied Energy,10.1016/j.apenergy.2020.115566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088655894&doi=10.1016%2fj.apenergy.2020.115566&partnerID=40&md5=1b98640c93b4eba9dbe157d1c87392a8
Study of Urban Thermal Environment and Local Circulations of Guangdong-Hong Kong-Macao Greater Bay Area Using WRF and Local Climate Zones,Journal of Geophysical Research: Atmospheres,10.1029/2022JD038210,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174453297&doi=10.1029%2f2022JD038210&partnerID=40&md5=fd775c9cac53a4238c01b75f4f2c630a
"Exploring the impacts of heat release of vehicles on urban heat mitigation in Sendai, Japan using WRF model integrated with urban LCZ",Sustainable Cities and Society,10.1016/j.scs.2022.103922,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129977189&doi=10.1016%2fj.scs.2022.103922&partnerID=40&md5=ae98b5693070e91f378c1610ca805558
City-scale building anthropogenic heating during heat waves,Atmosphere,10.3390/atmos11111206,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095976029&doi=10.3390%2fatmos11111206&partnerID=40&md5=e7f52374d04d6ebeb2c5f539de9a310f
Parameterization and Surface Data Improvements and New Capabilities for the Community Land Model Urban (CLMU),Journal of Advances in Modeling Earth Systems,10.1029/2018MS001586,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076394685&doi=10.1029%2f2018MS001586&partnerID=40&md5=1575a89a8886387d23288d2f22c8cbe3
Energy Analysis and Forecast of a Major Modern Hospital,Buildings,10.3390/buildings12081116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137363251&doi=10.3390%2fbuildings12081116&partnerID=40&md5=eabdbc35e033070ea5bf62f71ff1c1f4
Sensitivity study of PBL schemes and soil initialization using the WRF-BEP-BEM model over a Mediterranean coastal city,Urban Climate,10.1016/j.uclim.2021.100982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114819494&doi=10.1016%2fj.uclim.2021.100982&partnerID=40&md5=fa7520fef36e6fb6a16a34bcc1537961
Study on Urban Thermal Environment in Beijing Based on Local Climate Zone Method,Sustainability (Switzerland),10.3390/su14159503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137179228&doi=10.3390%2fsu14159503&partnerID=40&md5=2931c38494623c0f071405098bb7386d
Thermal effects of cool roofs and urban vegetation during extreme heat events in three Canadian regions,Sustainable Cities and Society,10.1016/j.scs.2023.104925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171611685&doi=10.1016%2fj.scs.2023.104925&partnerID=40&md5=f1731ab0479e39fe801030a36aaa4fdc
Urban weather modeling applications: A Vienna case study,Building Simulation,10.1007/s12273-019-0564-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069227919&doi=10.1007%2fs12273-019-0564-y&partnerID=40&md5=3dd2a21c61a527be9e78a65547c65774
Extending the IFC-Based bim2sim Framework to Improve the Accessibility of Thermal Comfort Analysis Considering Future Climate Scenarios,Applied Sciences (Switzerland),10.3390/app132212478,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192433747&doi=10.3390%2fapp132212478&partnerID=40&md5=881df4d55f304ea421d7f04dbce73fd1
Towards decarbonisation targets by changing setpoint temperature to avoid building overcooling and implementing district cooling in (sub)tropical high-density cities – A case study of Hong Kong,Science of the Total Environment,10.1016/j.scitotenv.2021.152338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121578169&doi=10.1016%2fj.scitotenv.2021.152338&partnerID=40&md5=ffb64e4867da3a17f191cab3d9ba724d
Effects of climate changes on building energy demand and thermal comfort in Canadian office buildings adopting different temperature setpoints,Journal of Building Engineering,10.1016/j.jobe.2021.102725,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108637826&doi=10.1016%2fj.jobe.2021.102725&partnerID=40&md5=23fe31bd03bc0619dc961873f3dc6420
Evaluating the performance of wrf urban schemes and pbl schemes over dallas–fort worth during a dry summer and a wet summer,Journal of Applied Meteorology and Climatology,10.1175/JAMC-D-19-0195.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108616368&doi=10.1175%2fJAMC-D-19-0195.1&partnerID=40&md5=a1140f4c181b315f34470aadd8606322
Urban electricity–temperature relationships in the Tokyo Metropolitan Area,Energy and Buildings,10.1016/j.enbuild.2021.111729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120865854&doi=10.1016%2fj.enbuild.2021.111729&partnerID=40&md5=41c96e78cac66a59d576b6981b8737bc
Urban climate changes during the COVID-19 pandemic: integration of urban-building-energy model with social big data,npj Climate and Atmospheric Science,10.1038/s41612-022-00268-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131121686&doi=10.1038%2fs41612-022-00268-0&partnerID=40&md5=896c67ada15785714634f31304fae804
Coupling urban climate modeling and city-scale building energy simulations with the statistical analysis: Climate and energy implications of high albedo materials in Seoul,Energy and Buildings,10.1016/j.enbuild.2023.113092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153354048&doi=10.1016%2fj.enbuild.2023.113092&partnerID=40&md5=546432d887b3c3f25c2c5b31d79b2a71
Overheating of residential buildings in the severe cold and cold regions of China: The gap between building policy and performance,Building and Environment,10.1016/j.buildenv.2022.109601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138468591&doi=10.1016%2fj.buildenv.2022.109601&partnerID=40&md5=a6911ebe873f5a2892b73e3de3a6e621
Transforming and validating urban microclimate data with multi-sourced microclimate datasets for building energy modelling at urban scale,Energy and Buildings,10.1016/j.enbuild.2023.113318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163953016&doi=10.1016%2fj.enbuild.2023.113318&partnerID=40&md5=fe141a657c1e0652c2ee681cc767e5e7
The interactive indoor-outdoor building energy modeling for enhancing the predictions of urban microclimates and building energy demands,Building and Environment,10.1016/j.buildenv.2023.111059,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179139227&doi=10.1016%2fj.buildenv.2023.111059&partnerID=40&md5=34ed6f0ba9de0bc110d5013f4e76bc3c
Assessing the impact of courtyards in cooling energy demand in buildings,Journal of Cleaner Production,10.1016/j.jclepro.2021.128742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113940430&doi=10.1016%2fj.jclepro.2021.128742&partnerID=40&md5=3590bb3ebdc725c24f1e45c2801f2e8b
Microclimate and urban morphology effects on building energy demand in different European cities,Energy and Buildings,10.1016/j.enbuild.2020.110129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088377284&doi=10.1016%2fj.enbuild.2020.110129&partnerID=40&md5=68abb497df85c2a3fb502493b9475a81
Review of Urban Heat Island and Building Energy Modeling Approaches,Journal of Engineering for Sustainable Buildings and Cities,10.1115/1.4053677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159296865&doi=10.1115%2f1.4053677&partnerID=40&md5=0c3c58a1d8690aea6b0046752536268a
High-resolution impact assessment of climate change on building energy performance considering extreme weather events and microclimate – Investigating variations in indoor thermal comfort and degree-days,Sustainable Cities and Society,10.1016/j.scs.2021.103634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121926191&doi=10.1016%2fj.scs.2021.103634&partnerID=40&md5=521a09fbcae540e101a916af5d4880b8
ANN-Based Method for Urban Canopy Temperature Prediction and Building Energy Simulation with Urban Heat Island Effect in Consideration,Energies,10.3390/en16145335,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166209440&doi=10.3390%2fen16145335&partnerID=40&md5=53c1ae839dab761a6f4973c97f1049e7
